File number	Encoding	Confidence
287	utf-8	0.99
288	utf-8	0.99
289	utf-8	0.99
290	utf-8	0.99
291	utf-8	0.99
292	utf-8	0.99
293	utf-8	0.99
294	utf-8	0.99
295	utf-8	0.99
296	utf-8	0.99
297	utf-8	0.99
298	utf-8	0.99
299	utf-8	0.99
300	utf-8	0.99
301	utf-8	0.99
302	utf-8	0.99
303	utf-8	0.99
304	utf-8	0.99
305	utf-8	0.99
306	Windows-1254	0.31061796278124276
307	utf-8	0.99
308	utf-8	0.99
309	utf-8	0.99
310	utf-8	0.99
311	utf-8	0.99
312	utf-8	0.99
313	utf-8	0.99
314	utf-8	0.99
315	utf-8	0.99
316	utf-8	0.99
317	utf-8	0.99
318	utf-8	0.99
319	utf-8	0.99
320	utf-8	0.99
321	utf-8	0.99
322	utf-8	0.99
323	utf-8	0.99
324	utf-8	0.99
325	utf-8	0.99
326	utf-8	0.99
327	utf-8	0.99
328	utf-8	0.99
329	utf-8	0.99
330	utf-8	0.99
331	utf-8	0.99
332	utf-8	0.99
333	utf-8	0.99
334	utf-8	0.99
335	utf-8	0.99
336	utf-8	0.99
337	utf-8	0.99
338	utf-8	0.99
339	utf-8	0.99
340	utf-8	0.99
341	utf-8	0.99
342	utf-8	0.99
343	utf-8	0.99
344	utf-8	0.99
345	utf-8	0.99
346	utf-8	0.99
347	utf-8	0.99
348	utf-8	0.99
349	utf-8	0.99
350	utf-8	0.99
351	utf-8	0.99
352	utf-8	0.99
353	utf-8	0.99
354	utf-8	0.99
355	utf-8	0.99
356	utf-8	0.99
357	utf-8	0.99
358	Windows-1254	0.2990771320983207
359	utf-8	0.99
360	utf-8	0.99
361	utf-8	0.99
362	utf-8	0.99
363	utf-8	0.99
364	utf-8	0.99
365	utf-8	0.99
366	utf-8	0.99
367	utf-8	0.99
368	utf-8	0.99
369	utf-8	0.99
370	utf-8	0.99
371	utf-8	0.99
372	utf-8	0.99
373	utf-8	0.99
374	utf-8	0.99
375	utf-8	0.99
376	utf-8	0.99
377	utf-8	0.99
378	utf-8	0.99
379	utf-8	0.99
380	utf-8	0.99
381	utf-8	0.99
382	utf-8	0.99
383	utf-8	0.99
384	utf-8	0.99
385	utf-8	0.99
386	utf-8	0.99
387	utf-8	0.99
388	utf-8	0.99
389	utf-8	0.99
390	utf-8	0.99
391	utf-8	0.99
392	utf-8	0.99
393	utf-8	0.99
394	utf-8	0.99
395	utf-8	0.99
396	utf-8	0.99
397	utf-8	0.99
398	utf-8	0.99
399	utf-8	0.99
400	utf-8	0.99
401	utf-8	0.99
402	utf-8	0.99
403	utf-8	0.99
404	utf-8	0.99
405	utf-8	0.99
406	utf-8	0.99
407	utf-8	0.99
408	utf-8	0.99
409	utf-8	0.99
410	utf-8	0.99
411	utf-8	0.99
412	utf-8	0.99
413	utf-8	0.99
414	utf-8	0.99
415	utf-8	0.99
416	utf-8	0.99
417	utf-8	0.99
418	utf-8	0.99
